Title,Genres,Country,Year,Summary,Main Leads,Personal rating (out of 10),Mood Tags
Sotus,"Comedy, Romance, Youth, Drama",Thailand,2016,"A strict senior and a bold junior clash in a university hazing system, but rivalry slowly turns into love.",KristSingto,9.5,"enemies to lovers, slow burn, senior-junior dynamics, hidden feelings, comforting ending"
2gether,"Romance, Comedy",Thailand,2020,A fake relationship turns real in this sweet college love story.,BrightWin,8,"lighthearted, jealousy, fake relationship, slow burn, college romance"
TharnType,"Romance, Drama",Thailand,2019,Enemies to lovers in a dorm room full of tension and feelings.,MewGulf,9.6,"enemies to lovers, intense chemistry, mature themes, angst, passionate romance"
Bad Buddy,"Romance, School",Thailand,2021,Two childhood rivals fall in love against all odds.,OhmNanon,8.5,"rivals to lovers, secret relationship, comedy, rebellion against norms, soft moments"
Tonhon Chonlatee,"Romance, Comedy,Drama",Thailand,2020,A shy boy's love slowly changes his childhood friend's heart.,PodKhaotung,9.8,"unrequited love, friends to lovers, jealousy, slow realization, heartwarming"
The Heart Killers,"Romance, Action, Comedy",Thailand,2024,Two hurt souls find love and healing through revenge and redemption.,"FirstKhaotung, JoongDunk",9,"revenge, dark past, unexpected love, emotional healing, angst"
Be Mine Superstar,Romance. Drama,Thailand,2023,"A rookie actor falls for a superstar, sparking a slow-burn romance full of tension and charm.",JaFirst,9.4,"celebrity romance, slow burn, on-set love, jealousy, shy-confident dynamics"
Don’t Say No,"Romance, Youth, Drama, Sports",Thailand,2021,"Best friends turn lovers, but jealousy complicates their love.",JaFirst,9.8,"friends to lovers, jealousy, mature romance, emotional tension, protective love"
Love In The Air,"Romance, Life, Comedy, Drama",Thailand,2022,"Two couples find love through storms of pride, passion, and fate.","BossNoeul, FortPeat",9.9,"enemies to lovers, passionate romance, bold-cold dynamics, spicy scenes, motorcycle & rain vibes"
Moonlight Chicken,"Food, Romance, Life",Thailand,2023,Two men with troubled pasts find unexpected love and healing in a small midnight diner.,EarthMix,9.5,"healing, found family, slow burn, slice of life, quiet emotional path"
Between Us,Romance,Thailand,2022,"Two swimmers navigate love, trauma, and trust as their bond deepens beyond friendship.",BounPrem,8.8,"trauma and comfort, soft-tough pairing, supportive love, sports romance, intimate moments"
Until We Meet Again,"Romance, Youth, Drama ",Thailand,2019,"Two strangers feel an unexplainable bond, uncovering a tragic love story from their past lives.",OhmFluke,9,"reincarnation, tragic past love, fated connection, soft couple, deep emotions"
Never Let Me Go,"Action, Romance, Youth",Thailand,2022,A mafia heir falls for his loyal bodyguard amid danger and duty.,PondPhuwin,7.6,"mafia romance, forbidden love, intense loyalty, bodyguardxheir, class difference"
Fish Upon The Sky,"Comedy, Romance, Youth",Thailand,2021,A nerdy boy tries to win his crush but ends up falling for his charming rival instead.,PondPhuwin,9.4,"nerdy-popular dynamics, comedy, misunderstandings, school crush, cute rivalry"
We Are,"Comedy, Romance, Youth",Thailand,2024,"A group of friends navigate love, identity, and growing pains during their university years.",PondPhuwin,9.4,"friendship, slice of life, self-discovery, LGBTQ+ identity, college life"
Hidden Agenda,"Romance, Youth",Thailand,2023,"A law stuent dates his crush's ex for a mission, but ends up falling for him instead.",JoongDunk,8.9,"fake dating vibes, enemies to lovers, law school setting, secret feelings, soft-playful dynamics"
My Engineer,"Comedy, Romance, Youth",Thailand,2020,Engineering and medical students fall in love amid chaos and charm.,CooperPoy,9.9,"multiple couples, college romance, enemies to lovers, light comedy, fluffy moments"
I Will Knock You,"Comedy, Romance, Drama, Youth",Thailand,2022,A tutor falls for his gangster student in a chaotic love story.,TarBom,9.9,"gangsterxtutor, unexpected love, protective boyfriend, chaotic romance, wholesome core"
